id,ibu,srm,abv,attenuation_level,outcome
283,50,112,11.5,83,IBU High Black ABV Medium Atten High
284,70,8,8.2,87,IBU High Pale Amber ABV Low Atten High
285,70,8,8.2,87,IBU High Pale Amber ABV Low Atten High
286,70,8,8.2,87,IBU High Pale Amber ABV Low Atten High
287,70,8,8.2,87,IBU High Pale Amber ABV Low Atten High
288,70,8,8.2,87,IBU High Pale Amber ABV Low Atten High
289,70,8,8.2,87,IBU High Pale Amber ABV Low Atten High
290,70,8,8.2,87,IBU High Pale Amber ABV Low Atten High
291,70,8,8.2,87,IBU High Pale Amber ABV Low Atten High
292,70,8,8.2,87,IBU High Pale Amber ABV Low Atten High
293,55,305,12,72,IBU High Black ABV Medium Atten Medium
294,20,10,7.2,86,IBU Low Medium Amber ABV Low Atten High
295,25,96,9,77,IBU Medium Black ABV Medium Atten Medium
296,50,10,6.5,83,IBU High Medium Amber ABV Low Atten High
297,15,10,7.8,77,IBU Low Medium Amber ABV Low Atten Medium
298,70,46,14.1,84,IBU High Black ABV Medium Atten High
299,8,4,0.5,44,IBU Low Pale Gold ABV Low Atten Low
300,30,8,4.2,82,IBU Medium Pale Amber ABV Low Atten High
301,37,3,4.7,86,IBU Medium Straw ABV Low Atten High
302,30,8,7.2,86,IBU Medium Pale Amber ABV Low Atten High
303,30,8,7.2,86,IBU Medium Pale Amber ABV Low Atten High
304,50,18,6.5,83,IBU High Brown ABV Low Atten High
305,70,9,8.5,86,IBU High Medium Amber ABV Low Atten High
306,35,46,13.3,82,IBU Medium Black ABV Medium Atten High
307,30,66,7.5,82,IBU Medium Black ABV Low Atten High
308,25,50,12,70,IBU Medium Black ABV Medium Atten Medium
309,100,152,13.5,84,IBU High Black ABV Medium Atten High
310,37,10,4.5,75,IBU Medium Medium Amber ABV Low Atten Medium
311,60,6,6.5,86,IBU High Deep Gold ABV Low Atten High
312,100,254,17,84,IBU High Black ABV High Atten High
313,75,198,12,78,IBU High Black ABV Medium Atten Medium
